Symbol,BBIndicator
DLHC,On Upper Band
DLNG,On Upper Band
DMAC,On Upper Band
DMPI,On Upper Band
DMRC,On Upper Band
DNJR,On Upper Band
DNLI,On Upper Band
DNN,On Upper Band
DNR,Above Upper Band
DOGZ,On Upper Band
DOOO,On Upper Band
DPZ,On Upper Band
DRIO,On Upper Band
DSPG,On Upper Band
DSS,On Upper Band
DSSI,On Upper Band
DT,On Upper Band
DTEA,On Upper Band
DUOT,On Upper Band
DVN,On Upper Band
DXF,On Lower Band
DXR,On Upper Band
EARS,On Upper Band
EAST,On Upper Band
EBR,On Lower Band
EBS,On Upper Band
ECHO,On Lower Band
ECOM,On Upper Band
ECT,On Upper Band
EDF,On Lower Band
EDN,On Lower Band
EDU,On Upper Band
EE,On Lower Band
EGF,On Upper Band
EGLE,On Lower Band
EGO,On Upper Band
EIG,On Lower Band
EIGI,On Upper Band
EKSO,On Upper Band
ELC,On Upper Band
ELGX,On Upper Band
ELOX,On Upper Band
ELP,On Lower Band
EMCF,On Lower Band
EMO,On Upper Band
EMR,On Upper Band
ENG,On Upper Band
ENLC,Above Upper Band
ENSV,Above Upper Band
ENZ,On Upper Band
EOT,On Lower Band
EPD,On Upper Band
EQ,On Upper Band
EQC,On Upper Band
EQX,On Upper Band
ERIE,On Upper Band
ERJ,On Lower Band
ERYP,On Upper Band
ESBA,On Lower Band
ESLT,On Upper Band
ESPR,On Upper Band
ESRT,On Lower Band
ESTA,On Upper Band
ET,On Upper Band
ETON,On Upper Band
EVA,On Upper Band
EVBN,On Lower Band
EVFM,On Upper Band
EVGBC,Below Lower Band
EVH,On Upper Band
EVI,On Upper Band
EVK,On Lower Band
EVLMC,Above Upper Band
EVLO,On Upper Band
EVOP,On Upper Band
EVSTC,Below Lower Band
EXEL,Above Upper Band
EXFO,On Lower Band
FAMI,On Lower Band
FANG,On Upper Band
FANH,On Lower Band
FCCY,On Lower Band
FCEL,On Upper Band
FCFS,On Lower Band
FDUSG,On Upper Band
FEDU,On Lower Band
FENG,On Upper Band
FET,On Upper Band
FFWM,On Upper Band
FGBI,On Lower Band
FGEN,On Upper Band
FISK,Below Lower Band
FLDM,On Upper Band
FLGT,On Upper Band
FLIR,On Upper Band
FLR,On Upper Band
FMCIU,Above Upper Band
FMO,On Upper Band
FMS,On Upper Band
FNV,On Upper Band
FOLD,On Upper Band
FORD,On Lower Band
FORK,On Lower Band
FORR,On Upper Band
FPAC,On Upper Band
FPI,On Upper Band
FRPT,On Upper Band
FSBC,On Lower Band
FSEA,On Lower Band
FSM,On Upper Band
FTEK,On Upper Band
FTSI,On Upper Band
FVRR,On Upper Band
FWONA,On Upper Band
FWONK,On Upper Band
G,On Upper Band
GASS,On Upper Band
GBLI,On Lower Band
GCAP,On Upper Band
GDP,Above Upper Band
GDYN,On Upper Band
GECCN,On Lower Band
GENC,On Upper Band
GER,Above Upper Band
GFI,On Upper Band
GGAL,On Lower Band
