,Symbol,BBIndicator
0,A,On Upper Band
1,AA,On Upper Band
2,AACG, 
3,AAL, 
4,AAMC, 
5,AAME,On Lower Band
6,AAN, 
7,AAOI, 
8,AAON, 
9,AAP, 
10,AAPL, 
11,AAT, 
12,AAU, 
13,AAWW, 
14,AAXN, 
15,AB, 
16,ABB, 
17,ABBV, 
18,ABC, 
19,ABCB,On Upper Band
20,ABEO,On Upper Band
21,ABEV, 
22,ABG,On Upper Band
23,ABIO,On Upper Band
24,ABM,On Upper Band
25,ABMD,On Upper Band
26,ABR,On Upper Band
27,ABT, 
28,ABTX, 
29,ABUS, 
30,AC,On Upper Band
31,ACA,On Upper Band
32,ACAD,On Upper Band
33,ACAM, 
34,ACAMU, 
35,ACAMW, 
36,ACB, 
37,ACBI, 
38,ACC, 
39,ACCO,On Upper Band
40,ACEL,On Upper Band
41,ACER, 
42,ACGL, 
43,ACH, 
44,ACHC,On Upper Band
45,ACHV, 
46,ACIU, 
47,ACIW,On Upper Band
48,ACLS, 
49,ACM,On Upper Band
50,ACMR,On Upper Band
51,ACN,On Upper Band
52,ACNB, 
53,ACOR, 
54,ACP, 
55,ACRE, 
56,ACRS, 
57,ACRX, 
58,ACST, 
59,ACTG,On Upper Band
60,ACTT, 
61,ACTTU, 
62,ACTTW, 
63,ACU, 
64,ACV, 
65,ACY, 
66,ADAP, 
67,ADBE, 
68,ADC, 
69,ADES,On Upper Band
70,ADI,On Upper Band
71,ADIL, 
72,ADILW, 
73,ADM,On Upper Band
74,ADMA, 
75,ADMP, 
76,ADMS,On Upper Band
77,ADNT,On Upper Band
78,ADP, 
79,ADPT, 
80,ADRO,On Upper Band
81,ADS, 
82,ADSK,On Upper Band
83,ADSW, 
84,ADT,On Upper Band
85,ADTN,On Upper Band
86,ADUS,On Upper Band
87,ADVM, 
88,ADX,On Upper Band
89,ADXN, 
90,ADXS,On Upper Band
91,AE, 
92,AEB, 
93,AEE, 
94,AEF, 
95,AEFC, 
96,AEG, 
97,AEGN, 
98,AEHR, 
99,AEIS, 
100,AEL, 
101,AEM,On Upper Band
102,AEMD, 
103,AEO,On Upper Band
104,AEP, 
105,AER, 
106,AERI,On Upper Band
107,AES, 
108,AESE, 
109,AEY,On Upper Band
110,AEYE, 
111,AEZS, 
112,AFB, 
113,AFC, 
114,AFG, 
115,AFGB, 
116,AFGC, 
117,AFGH, 
118,AFH, 
119,AFI, 
120,AFIN, 
121,AFINP, 
122,AFL, 
123,AFMD,On Upper Band
124,AFT, 
125,AFYA,On Upper Band
126,AG, 
127,AGBA, 
128,AGBAR, 
129,AGBAU,Above Upper Band
130,AGBAW, 
131,AGCO, 
132,AGD, 
133,AGE, 
134,AGEN, 
135,AGFS, 
136,AGI, 
137,AGIO,On Upper Band
138,AGLE,On Upper Band
139,AGM,On Upper Band
140,AGMH, 
141,AGN, 
142,AGNC, 
143,AGNCM, 
144,AGNCN, 
145,AGNCO, 
146,AGNCP, 
147,AGO, 
148,AGR, 
149,AGRO, 
150,AGRX,On Upper Band
151,AGS, 
152,AGTC, 
153,AGX, 
154,AGYS,On Upper Band
155,AHC, 
156,AHCO, 
157,AHH, 
158,AHPI, 
159,AHT, 
160,AI, 
161,AIC, 
162,AIF, 
163,AIG, 
164,AIH, 
165,AIHS,On Upper Band
166,AIKI, 
167,AIM, 
168,AIMC,On Upper Band
169,AIMT,On Upper Band
170,AIN, 
171,AINC, 
172,AINV, 
173,AIO, 
174,AIR, 
175,AIRG, 
176,AIRI, 
177,AIRT, 
178,AIRTP, 
179,AIT, 
180,AIV, 
181,AIW, 
182,AIZ, 
183,AIZP, 
184,AJG, 
185,AJRD,On Upper Band
186,AJX, 
187,AJXA, 
188,AKAM, 
189,AKBA, 
190,AKCA,On Upper Band
191,AKER,Above Upper Band
192,AKG, 
193,AKR, 
194,AKRO,On Upper Band
195,AKRX, 
196,AKTS,Above Upper Band
197,AKTX, 
198,AL, 
199,ALAC, 
200,ALACU, 
201,ALACW, 
202,ALB, 
203,ALBO, 
204,ALC, 
205,ALCO, 
206,ALDX, 
207,ALE, 
208,ALEC, 
209,ALEX, 
210,ALG, 
211,ALGN, 
212,ALGR, 
213,ALGRU, 
214,ALGRW, 
215,ALGT, 
216,ALIM, 
217,ALJJ, 
218,ALK, 
219,ALKS,On Upper Band
220,ALL,On Upper Band
221,ALLE, 
222,ALLK,On Upper Band
223,ALLO,On Upper Band
224,ALLT, 
225,ALLY, 
226,ALNA, 
227,ALNY,On Upper Band
228,ALO, 
229,ALOT, 
230,ALPN, 
231,ALRM, 
232,ALRN,On Upper Band
233,ALRS,On Upper Band
234,ALSK,On Upper Band
235,ALSN,On Upper Band
236,ALT,On Upper Band
237,ALTG, 
238,ALTM, 
239,ALTR, 
240,ALUS, 
241,ALV, 
242,ALX, 
243,ALXN,On Upper Band
244,ALYA, 
245,AM, 
246,AMAG,On Upper Band
247,AMAL, 
248,AMAT,On Upper Band
249,AMBA, 
250,AMBC,On Upper Band
251,AMBO, 
252,AMC, 
253,AMCI, 
254,AMCIU, 
255,AMCIW, 
256,AMCR, 
257,AMCX, 
258,AMD, 
259,AME,On Upper Band
260,AMED, 
261,AMEH, 
262,AMG,On Upper Band
263,AMGN,On Upper Band
264,AMH, 
265,AMHC, 
266,AMHCU, 
267,AMHCW, 
268,AMKR,On Upper Band
269,AMN, 
270,AMNB, 
271,AMOT, 
272,AMOV, 
273,AMP,On Upper Band
274,AMPE, 
275,AMPH,On Upper Band
276,AMPY,On Upper Band
277,AMRB, 
278,AMRC, 
279,AMRH, 
280,AMRHW, 
281,AMRK,On Upper Band
282,AMRN, 
283,AMRS, 
284,AMRX, 
285,AMS, 
286,AMSC, 
287,AMSF, 
288,AMSWA, 
289,AMT,On Upper Band
290,AMTB, 
291,AMTBB, 
292,AMTD,On Upper Band
293,AMTX, 
294,AMWD, 
295,AMX, 
296,AMZN, 
297,AN,On Upper Band
298,ANAB,On Upper Band
299,ANAT, 
300,ANCN, 
301,ANDA, 
302,ANDAR, 
303,ANDAU, 
304,ANDAW, 
305,ANDE, 
306,ANET, 
307,ANF,On Upper Band
308,ANGI,On Upper Band
309,ANGO,On Upper Band
310,ANH, 
311,ANIK,On Upper Band
312,ANIP, 
313,ANIX, 
314,ANSS,On Upper Band
315,ANTE, 
316,ANTM, 
317,ANVS, 
318,ANY, 
319,AOBC, 
320,AOD, 
321,AON,On Upper Band
322,AOS,On Upper Band
323,AOSL, 
324,AP, 
325,APA,On Upper Band
326,APAM,On Upper Band
327,APD,On Upper Band
328,APDN, 
329,APEI, 
330,APEN,On Upper Band
331,APEX,On Upper Band
332,APH,On Upper Band
333,APHA, 
334,APLE, 
335,APLS, 
336,APLT,On Upper Band
337,APM, 
338,APO,On Upper Band
339,APOG, 
340,APOP,On Upper Band
341,APPF, 
342,APPN, 
343,APPS,On Upper Band
344,APRE, 
345,APRN, 
346,APT, 
347,APTO, 
348,APTS, 
349,APTV,On Upper Band
350,APTX,On Upper Band
351,APVO, 
352,APWC, 
353,APXT, 
354,APXTW, 
355,APY,On Upper Band
356,APYX, 
357,AQB, 
358,AQMS, 
359,AQN,On Upper Band
360,AQNA, 
361,AQNB, 
362,AQST,On Upper Band
363,AQUA,On Upper Band
364,AR,On Upper Band
365,ARA, 
366,ARAV,On Upper Band
367,ARAY,On Upper Band
368,ARC, 
369,ARCB, 
370,ARCC, 
371,ARCE,On Upper Band
372,ARCH, 
373,ARCO, 
374,ARCT, 
375,ARD, 
376,ARDC, 
377,ARDS, 
378,ARDX, 
379,ARE,On Upper Band
380,AREC, 
381,ARES, 
382,ARGD, 
383,ARGO, 
384,ARGX, 
385,ARI, 
386,ARKR, 
387,ARL,On Upper Band
388,ARLO, 
389,ARLP, 
390,ARMK,On Upper Band
