,Symbol,MaxPriceDate,MaxPrice,MinPriceDate,MinPrice,LastDate,LastPrice,PrctHighToLow,PrctHightToCurrent
43,BNFT,2020-01-02,20.989999771118164,2020-03-18,6.179999828338623,2020-04-09,10.420000076293945,-0.7056,-0.5036
44,BNGO,2020-01-06,1.2699999809265137,2020-04-02,0.25999999046325684,2020-04-09,0.3199999928474426,-0.7953,-0.748
45,BNGOW,2020-04-09,0.11999999731779099,2020-04-09,0.11999999731779099,2020-04-09,0.11999999731779099,0.0,0.0
46,BNS,2020-01-02,56.720001220703125,2020-03-23,32.15999984741211,2020-04-09,41.060001373291016,-0.433,-0.2761
47,BNSO,2020-02-21,2.75,2020-03-09,2.2200000286102295,2020-04-09,2.299999952316284,-0.1927,-0.1636
48,BNTC,2020-02-07,7.440000057220459,2020-03-20,3.0,2020-04-09,4.400000095367432,-0.5968,-0.4086
49,BNTCW,2020-04-09,0.06300000101327896,2020-04-09,0.06300000101327896,2020-04-09,0.06300000101327896,0.0,0.0
50,BNTX,2020-03-18,92.0,2020-03-12,28.549999237060547,2020-04-09,45.40999984741211,-0.6897,-0.5064
51,BNY,2020-03-04,14.75,2020-03-18,10.5600004196167,2020-04-09,13.15999984741211,-0.2841,-0.1078
52,BOCH,2020-01-02,11.649999618530273,2020-03-23,6.150000095367432,2020-04-09,8.079999923706055,-0.4721,-0.3064
53,BOE,2020-01-22,11.25,2020-03-23,7.039999961853027,2020-04-09,9.100000381469727,-0.3742,-0.1911
54,BOH,2020-01-02,94.37000274658203,2020-03-23,47.369998931884766,2020-04-09,62.720001220703125,-0.498,-0.3354
55,BOKF,2020-01-02,87.41000366210938,2020-03-23,35.400001525878906,2020-04-09,53.720001220703125,-0.595,-0.3854
56,BOKFL,2020-02-10,26.75,2020-03-19,17.5,2020-04-09,23.722000122070312,-0.3458,-0.1132
57,BOMN,2020-01-08,21.6299991607666,2020-03-16,13.319999694824219,2020-04-09,17.989999771118164,-0.3842,-0.1683
58,BOOM,2020-01-06,46.27000045776367,2020-03-30,21.530000686645508,2020-04-09,27.860000610351562,-0.5347,-0.3979
59,BOOT,2020-01-07,47.279998779296875,2020-03-18,10.460000038146973,2020-04-09,15.979999542236328,-0.7788,-0.662
60,BORR,2020-01-06,9.119999885559082,2020-03-18,0.25,2020-04-09,1.5700000524520874,-0.9726,-0.8279
61,BOSC,2020-01-16,2.2300000190734863,2020-03-23,1.409999966621399,2020-04-09,1.5499999523162842,-0.3677,-0.3049
62,BOTJ,2020-01-08,16.149999618530273,2020-03-24,8.260000228881836,2020-04-09,10.050000190734863,-0.4885,-0.3777
63,BOX,2020-01-06,17.31999969482422,2020-03-16,9.119999885559082,2020-04-09,15.430000305175781,-0.4734,-0.1091
64,BOXL,2020-01-21,1.5800000429153442,2020-03-23,0.3499999940395355,2020-04-09,0.6100000143051147,-0.7785,-0.6139
65,BP,2020-01-06,39.849998474121094,2020-03-18,16.110000610351562,2020-04-09,24.899999618530273,-0.5957,-0.3752
66,BPFH,2020-01-22,12.34000015258789,2020-03-23,5.440000057220459,2020-04-09,7.639999866485596,-0.5592,-0.3809
67,BPMC,2020-01-10,82.22000122070312,2020-03-16,48.11000061035156,2020-04-09,66.19999694824219,-0.4149,-0.1948
68,BPMP,2020-01-16,16.93000030517578,2020-03-18,6.889999866485596,2020-04-09,9.350000381469727,-0.593,-0.4477
69,BPMX,2020-01-27,0.8730000257492065,2020-03-18,0.2630000114440918,2020-04-09,0.2800000011920929,-0.6987,-0.6793
70,BPOP,2020-01-17,61.38999938964844,2020-03-18,24.809999465942383,2020-04-09,39.06999969482422,-0.5959,-0.3636
71,BPOPM,2020-01-15,27.329999923706055,2020-03-23,19.989999771118164,2020-04-09,24.25,-0.2686,-0.1127
72,BPOPN,2020-01-10,27.079999923706055,2020-03-18,20.280000686645508,2020-04-09,25.040000915527344,-0.2511,-0.0753
73,BPRN,2020-01-28,31.959999084472656,2020-04-03,19.34000015258789,2020-04-09,22.5,-0.3949,-0.296
74,BPT,2020-01-15,9.319999694824219,2020-03-18,3.390000104904175,2020-04-09,4.0,-0.6363,-0.5708
75,BPTH,2020-01-02,8.260000228881836,2020-03-16,3.069999933242798,2020-04-09,4.690000057220459,-0.6283,-0.4322
76,BPY,2020-01-21,19.989999771118164,2020-03-23,7.25,2020-04-09,10.319999694824219,-0.6373,-0.4837
77,BPYPN,2020-02-21,25.56800079345703,2020-03-18,8.0,2020-04-09,19.3799991607666,-0.6871,-0.242
78,BPYPO,2020-02-06,26.760000228881836,2020-03-18,9.350000381469727,2020-04-09,20.34000015258789,-0.6506,-0.2399
79,BPYPP,2020-02-07,26.940000534057617,2020-03-23,12.0,2020-04-09,21.290000915527344,-0.5546,-0.2097
80,BPYU,2020-01-21,19.950000762939453,2020-03-23,7.46999979019165,2020-04-09,10.770000457763672,-0.6256,-0.4602
81,BPYUP,2020-02-21,25.829999923706055,2020-03-18,9.0,2020-04-09,17.399999618530273,-0.6516,-0.3264
82,BQH,2020-03-05,16.040000915527344,2020-03-24,12.329999923706055,2020-04-09,14.260000228881836,-0.2313,-0.111
83,BR,2020-01-21,132.57000732421875,2020-03-23,84.26000213623047,2020-04-09,105.91000366210938,-0.3644,-0.2011
84,BRBR,2020-01-23,23.399999618530273,2020-03-23,14.4399995803833,2020-04-09,16.889999389648438,-0.3829,-0.2782
85,BRBS,2020-02-14,22.0,2020-03-26,15.460000038146973,2020-04-09,16.0,-0.2973,-0.2727
86,BRC,2020-01-13,57.88999938964844,2020-03-23,37.40999984741211,2020-04-09,47.36000061035156,-0.3538,-0.1819
87,BREW,2020-01-06,16.510000228881836,2020-03-18,11.109999656677246,2020-04-09,15.34000015258789,-0.3271,-0.0709
88,BRFS,2020-01-09,8.960000038146973,2020-03-18,2.569999933242798,2020-04-09,3.559999942779541,-0.7132,-0.6027
89,BRG,2020-01-16,12.180000305175781,2020-04-03,3.7899999618530273,2020-04-09,6.449999809265137,-0.6888,-0.4704
90,BRID,2020-01-22,31.040000915527344,2020-03-16,14.15999984741211,2020-04-09,21.600000381469727,-0.5438,-0.3041
91,BRKL,2020-01-02,16.43000030517578,2020-03-23,9.970000267028809,2020-04-09,12.569999694824219,-0.3932,-0.2349
92,BRKR,2020-01-16,53.9900016784668,2020-04-01,31.559999465942383,2020-04-09,36.79999923706055,-0.4154,-0.3184
93,BRKS,2020-01-16,44.13999938964844,2020-03-18,22.690000534057617,2020-04-09,30.5,-0.486,-0.309
94,BRMK,2020-01-29,12.739999771118164,2020-03-23,5.820000171661377,2020-04-09,7.849999904632568,-0.5432,-0.3838
95,BRN,2020-02-12,1.3700000047683716,2020-03-30,0.3199999928474426,2020-04-09,0.6100000143051147,-0.7664,-0.5547
96,BRO,2020-02-20,48.5099983215332,2020-03-23,31.65999984741211,2020-04-09,39.029998779296875,-0.3474,-0.1954
97,BROG,2020-03-10,12.989999771118164,2020-01-06,7.78000020980835,2020-04-09,11.5,-0.4011,-0.1147
98,BROGW,2020-04-09,0.75,2020-04-09,0.75,2020-04-09,0.75,0.0,0.0
99,BRP,2020-02-21,17.420000076293945,2020-04-03,8.920000076293945,2020-04-09,10.949999809265137,-0.4879,-0.3714
